name,startByte,endByte,startNibble,endNibble,format,description
fileNumber,1,2,1,4,bcd,File number (must be set to FFFF when the extended file number is used (bytes 18-20)
scanTypeNumber,3,3,5,6,bcd,Scan type number (must be set to FF when the extended channel set number is used (bytes 16-17)
channelSetNumber,4,4,7,8,bcd,Channel set number
traceNumber,5,6,9,12,bcd,Trace number
firstTimingWordInteger,7,8,13,16,ubin,First timing word integer; Timing word for first sample if multiplexed. Multiply by sample skew time (byte 11) and baseScanInterval (general header 1) for actual time
firstTimingWordFraction,9,9,17,18,fraction,First timing word fraction
traceHeaderExtension,10,10,19,20,ubin,Number of 32-byte trace header extension blocks (maximum 15)
sampleSkew,11,11,21,22,fraction,"Sample skew (see First timing word, byte 7)"
traceEdit,12,12,23,24,ubin,Trace edit
timeBreakWindowInteger,13,14,25,28,ubin,Time break window integer
timeBreakWindowFraction,15,16,29,30,fraction,Time break window fraction
extendedChannelSetNumber,16,17,31,34,ubin,Extended channel set number
extendedFileNumber,18,20,35,40,ubin,Extended file number
