name,startByte,endByte,startNibble,endNibble,format,description
expandedFileNumber,1,3,1,6,ubin,Extended file number. (Bytes 1 and 2 of GHB1 must be set to FFFF for ffids greater than 9999)
extendedChannelSetsPerScanType,4,5,7,10,ubin,Extended channel sets/scan types. (Byte 29 of GHB1 must be set to FF for numbers greater than 99)
extendedHeaderBlocks,6,7,11,14,ubin,Extended header blocks (Byte 31 of GHB1 must be set to FF if using more than 99 extended header blocks)
externalHeaderBlocks,8,9,15,18,ubin,External header blocks (Byte 32 of GHB1 must be set to FF if using more than 99 external header blocks)
majorSEGDrevisionNumber,11,11,21,22,ubin,Major SEG-D revision number
minorSEGDrevisionNumber,12,12,23,24,ubin,Minor SEG-D revision number
generalTrailerBlocks,13,14,25,28,ubin,Number of 32-byte General Trailer blocks
extendedRecordLength,15,17,29,34,ubin,Extended record length in milliseconds (Bytes 26 and 27 of GHB1 must be set to FFF)
generalHeaderBlockNumber,19,19,37,38,ubin,General header block number (Set to 2 for this block)
sequenceNumber,21,22,41,44,ubin,Line's unique sequence number (=0 if not valid)
