code,description
0000,"Illegal, do not use"
0200,"Illegal, do not use"
0015,20 bit binary multiplexed
0022,8 bit quaternary multiplexed
0024,16 bit quaternary multiplexed
0036,24 bit 2's compliment integer multiplexed
0038,32 bit 2's compliment integer multiplexed
0042,8 bit hexadecimal multiplexed
0044,16 bit hexadecimal multiplexed
0048,32 bit hexadecimal multiplexed
8015,20 bit binary demultiplexed
8022,8 bit quaternary demultiplexed
8024,16 bit quaternary demultiplexed
8036,24 bit 2's compliment integer demultiplexed
8038,32 bit 2's compliment integer demultiplexed
8042,8 bit hexadecimal demultiplexed
8044,16 bit hexadecimal demultiplexed
8048,32 bit hexadecimal demultiplexed
8058,32 bit IEEE demultiplexed
