code,description
01,"No array forming"
02,"2 groups summed, no weighting"
03,"3 groups summed, no weighting"
04,"4 groups summed, no weighting"
05,"5 groups summed, no weighting"
06,"6 groups summed, no weighting"
07,"7 groups summed, no weighting"
08,"8 groups summed, no weighting"
09,"9 groups summed, no weighting"
0A,"10 groups summed, no weighting"
0B,"11 groups summed, no weighting"
0C,"12 groups summed, no weighting"
0D,"13 groups summed, no weighting"
0E,"14 groups summed, no weighting"
0F,"15 groups summed, no weighting"
11,"No array forming"
12,"2 groups weighted, overlapping, summation"
13,"3 groups weighted, overlapping, summation"
14,"4 groups weighted, overlapping, summation"
15,"5 groups weighted, overlapping, summation"
16,"6 groups weighted, overlapping, summation"
17,"7 groups weighted, overlapping, summation"
18,"8 groups weighted, overlapping, summation"
19,"9 groups weighted, overlapping, summation"
1A,"10 groups weighted, overlapping, summation"
1B,"11 groups weighted, overlapping, summation"
1C,"12 groups weighted, overlapping, summation"
1D,"13 groups weighted, overlapping, summation"
1E,"14 groups weighted, overlapping, summation"
1F,"15 groups weighted, overlapping, summation"
