ShortName,startByte,endByte,Type,Recommended,Description,Comment,Details
tracl,1,4,int32,*,Trace sequence number within line,numbers continue to increase if additional reels are required on same line,
tracr,5,8,int32,,Trace sequence number within reel,each reel starts with trace number one,
fldr,9,12,int32,*,Original field record number,,
tracf,13,16,int32,*,Trace number within the original field record,,
ep,17,20,int32,,Energy source point number  used when more than one record occurs at the same effective surface location,,
cdp,21,24,int32,,CDP ensemble number,,
cdpt,25,28,int32,,Trace number within the CDP ensemble,each ensemble starts with trace number one,
trid,29,30,int16,*,Trace identification code,,"1=seismic data,2=dead,3=dummy,4=time break,5=uphole,6=sweep,7=timing,8=water break,N=optional use"
nvs,31,32,int16,,Number of vertically summed traces yielding this trace,"1 is one trace, 2 is two summed traces, etc.",
nhs,33,34,int16,,Number of horizontally stacked traces yielding this trace,"1 is one trace, 2 is two stacked traces, etc.",
duse,35,36,int16,,Data use,,"1=production,2=test"
offset,37,40,int32,,Distance from source point to receiver group,negative if opposite to direction in which line is shot,
gelev,41,44,int32,,Receiver group elevation,all elevations above sea level are positive and below sea level are negative,
selev,45,48,int32,,Surface elevation at source,,
sdepth,49,52,int32,,Source depth below surface,a positive number,
gdel,53,56,int32,,Datum elevation at receiver group,,
sdel,57,60,int32,,Datum elevation at source,,
swdep,61,64,int32,,Water depth at source,,
gwdep,65,68,int32,,Water depth at group,,
scalel,69,70,int16,,Scaler to be applied to all elevations and depths,"Applied to bytes 41-68 to give the real value. Scaler = 1, +10, +100, +1000, or +10,000. If positive, scaler is used as a multiplier; if negative, scaler is used as a divisor",
scalco,71,72,int16,,Scaler to be applied to all coordinates,"Applied to bytes 73-88 to give the real value. Scaler = 1, +10, +100, +1000, or +10,000. If positive, scaler is used as a multiplier: if negative, scaler is used as divisor",
sx,73,76,int32,,Source coordinate X,"If the coordinate units are in seconds of arc, the X values represent longitude and the Y values latitude. A positive value designates the number of seconds east  of Greenwich Meridian or north of the equator and a negative value designates the number of seconds south or west.",
sy,77,80,int32,,Source coordinate Y,"If the coordinate units are in seconds of arc, the X values represent longitude and the Y values latitude. A positive value designates the number of seconds east  of Greenwich Meridian or north of the equator and a negative value designates the number of seconds south or west.",
gx,81,84,int32,,Group coordinate X,"If the coordinate units are in seconds of arc, the X values represent longitude and the Y values latitude. A positive value designates the number of seconds east  of Greenwich Meridian or north of the equator and a negative value designates the number of seconds south or west.",
gy,85,88,int32,,Group coordinate Y,"If the coordinate units are in seconds of arc, the X values represent longitude and the Y values latitude. A positive value designates the number of seconds east  of Greenwich Meridian or north of the equator and a negative value designates the number of seconds south or west.",
counit,89,90,int16,,Coordinate units,,"1=length (meters or feet),2=seconds of arc"
