Name,startByte,endByte,Type,Recommended,Description,Comment,Interpretation
jobid,1,4,int32,,Job identification number,,
lino,5,8,int32,,Line number,"For 3-D poststack data, this will typically contain the in-line number.",
reno,9,12,int32,,Reel number,,
ntrpr,13,14,int16,mpre,Number of data traces per record ,Mandatory for prestack data,
nart,15,16,int16,mpre,Number of auxiliary traces per record,Mandatory for prestack data,
hdt,17,18,uint16,m,Sample interval in microseconds ,Mandatory for all data types,
dto,19,20,uint16,,Sample interval of field data in microseconds ,for original field recording,
hns,21,22,uint16,m,Number of samples per data trace,Mandatory for all data types. Note: the sample interval and number of samples in the Binary File Header should be for the primary set of seismic data traces in the file.,
nso,23,24,uint16,,Number of samples recorded in field data per data trace,for original field recording,
format,25,26,int16,m,Data sample format code,,"1 = 4-byte IBM floating point, 2 = 4-byte, two's complement integer, 3 = 2-byte, two's complement integer, 4 = 4-byte fixed-point with gain (obsolete), 5=4-byte IEEE floating-point, 6=Not currently used,7=Not currently used,8=1-byte, two's complement integer"
fold,27,28,int16,r,Ensemble fold ,The expected number of data traces per trace ensemble (eg. the CMP fold). Highly recommended for all types of data.,
tsort,29,30,int16,r,Trace sorting code,,"0=Unknown,-1=Other (should be explained in user Extended Textual File Header stanza),1 = as recorded (no sorting), 2 = CDP ensemble, 3 = Single fold continuous profile, 4 = Horizontally stacked,5=Common source point, 6=Common receiver point,7=Common offset point,8=Common mid-point,9=Common conversion point"
vscode,31,32,int16,,Vertical sum code,,"1 = no sum, 2 = two sum, ...., N = M-1 sum  (M = 2 to 32,767)"
hsfs,33,34,int16,,Sweep frequency at start (Hz),,
hsfe,35,36,int16,,Sweep frequency at end (Hz),,
hslen,37,38,int16,,Sweep length (ms),,
hstyp,39,40,int16,,Sweep type code,,"1= linear, 2= parabolic, 3 = exponential, 4 = other"
schn,41,42,int16,,Trace number of sweep channel,,
hstas,43,44,int16,,Sweep trace taper length (ms),At start if tapered (the taper starts at zero time and is effective for this length),
hstae,45,46,int16,,Sweep trace taper length (ms),At end if tapered (the ending taper starts at sweep length minus the taper length at end),
